acct_num,date,product_code,cc_cri,del_days,postal,balance,premium,auth_limit,tm_on_book_month
1,2014-10-31,10010,a,0,E2j1n1,3000,NO,7000,38
2,2014-01-31,10010,a,0,M5B1n1,45000,YES,5000,3
3,2014-01-31,10010,a,0,H2j1n1,1000,YES,5000,3
4,2014-10-31,10010,a,0,A2j1n1,1000,YES,7000,35
5,2014-10-31,10010,e,0,G2j1n1,2000,YES,7000,1
6,2014-10-31,10010,b,0,M5B1n1,2000,YES,7000,10
7,2014-09-30,10010,a,0,R2j1n1,3000,YES,5000,5
8,2014-06-30,10010,c,0,Y2j1n1,2000,YES,1500,1
9,2014-06-30,10010,c,0,C2j1n1,45000,YES,1500,38
10,2014-08-31,10010,b,0,C2j1n1,2000,YES,5000,3
11,2014-05-31,10010,a,0,B2j1n1,45000,NO,1500,3
12,2014-11-30,10010,c,0,T2j1n1,3000,NO,7000,1
13,2014-11-30,10010,e,0,N2j1n1,45000,NO,1500,5
14,2014-04-30,10010,c,0,M2j1n1,1000,YES,5000,5
15,2014-07-31,10010,a,0,V2j1n1,3000,YES,5000,1
16,2014-11-30,10010,a,0,H2j1n1,3000,YES,7000,35
17,2014-02-28,10010,a,0,L2j1n1,45000,YES,7000,35
18,2014-01-31,10010,c,0,M2j1n1,3000,NO,5000,3
19,2014-06-30,10010,b,0,R2j1n1,3000,YES,7000,38
20,2014-07-31,10010,c,0,K2j1n1,3000,YES,7000,3
21,2014-03-31,10010,d,0,J2j1n1,2000,NO,1500,1
22,2014-09-30,10010,d,0,Y2j1n1,1000,NO,5000,10
23,2014-10-31,10010,c,0,G2j1n1,1000,YES,5000,3
24,2014-01-31,10010,b,0,G2j1n1,45000,YES,7000,5
25,2014-12-31,10017,d,0,M5B1n1,1000,NO,1500,10
26,2014-06-30,10010,c,0,M2j1n1,45000,NO,5000,10
27,2013-08-31,10010,c,0,S2j1n1,1000,YES,7000,3
28,2014-11-30,10010,b,0,P2j1n1,1000,NO,1500,1
29,2013-10-31,10010,a,0,T2j1n1,45000,NO,7000,38
30,2014-09-30,10010,b,40,J2j1n1,2000,YES,5000,3
31,2014-04-30,10010,c,0,Y2j1n1,3000,YES,5000,38
32,2014-07-31,10010,d,0,P2j1n1,1000,NO,7000,35
33,2014-04-30,10010,d,0,K2j1n1,1000,NO,7000,5
34,2014-08-31,10010,e,0,V2j1n1,45000,NO,7000,10
35,2014-03-31,10010,c,0,X2j1n1,1000,YES,7000,10
36,2014-12-31,10010,a,0,H2j1n1,3000,YES,5000,3
37,2013-10-31,10010,c,0,S2j1n1,3000,YES,1500,1
38,2014-03-31,10010,a,0,R2j1n1,45000,NO,1500,35
39,2014-08-31,10010,c,0,M2j1n1,1000,NO,5000,10
40,2014-12-31,10017,b,0,L2j1n1,3000,YES,7000,3
41,2014-10-31,10010,b,0,M5A1n1,1000,NO,5000,5
42,2014-07-31,10010,c,0,T2j1n1,45000,YES,1500,10
43,2014-09-30,10010,c,0,J2j1n1,45000,NO,5000,38
44,2013-08-31,10010,c,0,L2j1n1,3000,NO,5000,5
45,2014-02-28,10017,a,0,C2j1n1,2000,YES,5000,5
46,2014-03-31,10017,c,0,Y2j1n1,3000,NO,1500,10
47,2014-09-30,10010,a,0,E2j1n1,2000,NO,7000,1
